pair_id,topic,handout_num,slide_num,handout_file,slide_file,handout_r2_key,slide_r2_key,handout_size_bytes,slide_size_bytes,handout_sha256,slide_sha256,min_questions
01,"Physics",01,01,"/Users/gabe/Downloads/ACEP Lecture Handouts/1. AEMUS 26_Physics Handout.pdf","/Users/gabe/Downloads/ACEP Lecture slides/1. AEMUS 26_Physics.pdf",sources/acep-course-2026/pairs/01/handout/1.-aemus-26_physics-handout.pdf,sources/acep-course-2026/pairs/01/lecture/1.-aemus-26_physics.pdf,231878,13418327,2950136c4bb163c8e40999c33db82efb16e70a571d0399597a59f113eaccb02e,3cb59f1c2e543d497275b4191d9393fa8f0dd0f6e96b1dcc53fbee6b8928fb3d,25
02,"US Education",02,02,"/Users/gabe/Downloads/ACEP Lecture Handouts/2. AEMUS 26_US Education Handout.pdf","/Users/gabe/Downloads/ACEP Lecture slides/2. AEMUS 26_US Education.pdf",sources/acep-course-2026/pairs/02/handout/2.-aemus-26_us-education-handout.pdf,sources/acep-course-2026/pairs/02/lecture/2.-aemus-26_us-education.pdf,113666,10798385,b51de360c85aa4fd5cbf2c40496fc6675b47fe7332efdf8336a55744d8b89870,5f34d3f2383490cb6ef53f6ce440e051a17bd9b50a9bbb8f9396635ffef7e3c9,25
03,"Research",03,03,"/Users/gabe/Downloads/ACEP Lecture Handouts/3. AEMUS 26_Research Handout.pdf","/Users/gabe/Downloads/ACEP Lecture slides/3. AEMUS 26_Research.pdf",sources/acep-course-2026/pairs/03/handout/3.-aemus-26_research-handout.pdf,sources/acep-course-2026/pairs/03/lecture/3.-aemus-26_research.pdf,195832,2627325,418502fd87a5fcc4a18f5006fe976caf6c0c0dbd16a53b8538d8aaf27793d01f,75b27a5da45d2430c165e18f6dbbaad47ede31506d39b2af7a8c3ca6f8cdc9d4,25
04,"Basic Echo",04,04,"/Users/gabe/Downloads/ACEP Lecture Handouts/4. AEMUS 26_Basic Echo Handout.pdf","/Users/gabe/Downloads/ACEP Lecture slides/4. AEMUS 26_Basic Echo.pdf",sources/acep-course-2026/pairs/04/handout/4.-aemus-26_basic-echo-handout.pdf,sources/acep-course-2026/pairs/04/lecture/4.-aemus-26_basic-echo.pdf,223944,24369226,0f733f3408f30e77a075b3ccaf3571a490009cc6a8213f76d43802f2823df175,b46fdb16b6f69e1c2d00d5f369231f65a81f8c50e2360ed963ffac90d6dc2823,25
05,"RV Echo",05,05,"/Users/gabe/Downloads/ACEP Lecture Handouts/5. AEMUS 26_RV Echo Handout.pdf","/Users/gabe/Downloads/ACEP Lecture slides/5. AEMUS 26_RV Echo.pdf",sources/acep-course-2026/pairs/05/handout/5.-aemus-26_rv-echo-handout.pdf,sources/acep-course-2026/pairs/05/lecture/5.-aemus-26_rv-echo.pdf,535631,23349945,ef84066517e618a44c6429e42312793b2a96f730d5b39f78c1abe02d21d6335d,e12ba8796904009e870318fc329e5f191f7cade0a87ec88f00fb6769f0996aa0,25
06,"Advanced Cardiac Trauma and Resuscitation",06,07,"/Users/gabe/Downloads/ACEP Lecture Handouts/6. AEMUS 26_Advanced Cardiac_Trauma and Resuscitation Handout.pdf","/Users/gabe/Downloads/ACEP Lecture slides/7. AEMUS 26_Trauma-Resuscitation.pdf",sources/acep-course-2026/pairs/06/handout/6.-aemus-26_advanced-cardiac_trauma-and-resuscitation-handout.pdf,sources/acep-course-2026/pairs/06/lecture/7.-aemus-26_trauma-resuscitation.pdf,3000589,50483081,bcf2aef4c422122bcdb879fc88ff8feacfafde1fdbed6acfed53a688f10eb4b9,1561b1b6fbfe7b6d3af5734a8bc70f08504ca01da1de52d73152faf5d0bb9b4b,25
07,"Advanced LV ECHO TEE",07,06,"/Users/gabe/Downloads/ACEP Lecture Handouts/7. AEMUS 26_Advanced LV ECHO_TEE Handout.pdf","/Users/gabe/Downloads/ACEP Lecture slides/6. AEMUS 26_Advanced LV ECHO.pdf",sources/acep-course-2026/pairs/07/handout/7.-aemus-26_advanced-lv-echo_tee-handout.pdf,sources/acep-course-2026/pairs/07/lecture/6.-aemus-26_advanced-lv-echo.pdf,1301912,23269874,371c43a21a0ad733cb70db1a0ca47d9fcb5aca1b72feaf7860ddc5922bbedf00,781cf6a0b5982b27f9daef8b1b78a94d673ee6df143fb11d149d9ef83410c8c8,25
08,"MSK US",08,08,"/Users/gabe/Downloads/ACEP Lecture Handouts/8. AEMUS 26_MSK US Handout.pdf","/Users/gabe/Downloads/ACEP Lecture slides/8. AEMUS 26_MSK US.pdf",sources/acep-course-2026/pairs/08/handout/8.-aemus-26_msk-us-handout.pdf,sources/acep-course-2026/pairs/08/lecture/8.-aemus-26_msk-us.pdf,99750,32339093,35f12666b7ccbd575ad7a440d781ecb46e49772b5f3eb33bdaf09c54a3816f9e,ef2c984037ce563c181949c3c7a6ad8a1d7ca8c5ad0aeed460e45562654d79f4,25
09,"Ocular US",09,09,"/Users/gabe/Downloads/ACEP Lecture Handouts/9. AEMUS 26_Ocular US Handout.pdf","/Users/gabe/Downloads/ACEP Lecture slides/9. AEMUS 26_Ocular US.pdf",sources/acep-course-2026/pairs/09/handout/9.-aemus-26_ocular-us-handout.pdf,sources/acep-course-2026/pairs/09/lecture/9.-aemus-26_ocular-us.pdf,152019,30625979,7433973e9e4da2a2370d348389f5e9623bd6d6bcc832eb80ebf2f8ebfbdcb9ed,44fb49191621da2a8509eb73c12ff29692c690885b9b249bb35e75a3a619bb4a,25
10,"Obstetric US",10,10,"/Users/gabe/Downloads/ACEP Lecture Handouts/10. AEMUS 26_Obstetric US Handout.pdf","/Users/gabe/Downloads/ACEP Lecture slides/10. AEMUS 26_Obstetric US.pdf",sources/acep-course-2026/pairs/10/handout/10.-aemus-26_obstetric-us-handout.pdf,sources/acep-course-2026/pairs/10/lecture/10.-aemus-26_obstetric-us.pdf,120995,19190026,15008b99ab12e2aa98fd2c0409db5b09fc3da0546881fc6d400691b1db935329,8436c94006be8dcd62b50ecb257a197518d7eac56e00490ed5962ea211931798,25
11,"Gynecologic US",11,11,"/Users/gabe/Downloads/ACEP Lecture Handouts/11. AEMUS 26_Gynecologic US Handout.pdf","/Users/gabe/Downloads/ACEP Lecture slides/11. AEMUS 26_Gynecologic US.pdf",sources/acep-course-2026/pairs/11/handout/11.-aemus-26_gynecologic-us-handout.pdf,sources/acep-course-2026/pairs/11/lecture/11.-aemus-26_gynecologic-us.pdf,150664,16390451,cbfc61b70b30c3044d0b454bc4659974dfe56de2422950cf90167e5f4ee8f4e1,0343743b46cac131144436d87fef89ded133a53cf77c13535eb4984c91c6bcdc,25
12,"Arterial and Venous US",12,12,"/Users/gabe/Downloads/ACEP Lecture Handouts/12. AEMUS 26_Arterial and Venous US Handout.pdf","/Users/gabe/Downloads/ACEP Lecture slides/12. AEMUS 26_Arterial and Venous US.pdf",sources/acep-course-2026/pairs/12/handout/12.-aemus-26_arterial-and-venous-us-handout.pdf,sources/acep-course-2026/pairs/12/lecture/12.-aemus-26_arterial-and-venous-us.pdf,127434,87929713,959d65e28e49311a5888ee76545bc4746c01781fddb0dd691e58a2359a7b610f,da2d86a8780550371812decaa94682a9706ae0b775dd1a23c0e20564a2b8618f,25
13,"Admin Topics",13,13,"/Users/gabe/Downloads/ACEP Lecture Handouts/13. AEMUS 26_Admin Topics Handout.pdf","/Users/gabe/Downloads/ACEP Lecture slides/13. AEMUS 26_Administration Topics.pdf",sources/acep-course-2026/pairs/13/handout/13.-aemus-26_admin-topics-handout.pdf,sources/acep-course-2026/pairs/13/lecture/13.-aemus-26_administration-topics.pdf,131625,9261290,f8234455386295d395a8e65a9e68800e5533cdf2cec4848d41c965a708f0ce9f,857354de68293e0e6752b680e4e1bf01e994122c8211a5718dcf817a27aef1cb,25
14,"Pediatric US",14,14,"/Users/gabe/Downloads/ACEP Lecture Handouts/14. AEMUS 26_Pediatric US Handout.pdf","/Users/gabe/Downloads/ACEP Lecture slides/14. AEMUS 26_Pediatric US.pdf",sources/acep-course-2026/pairs/14/handout/14.-aemus-26_pediatric-us-handout.pdf,sources/acep-course-2026/pairs/14/lecture/14.-aemus-26_pediatric-us.pdf,472210,15221011,d04425ad33c155cac7d445197c8e9d255585f58543d4fe3db6b2ae65e3e35626,8ca9d678207074428d1ae8ee7502d820cc8a5c9308cd310b185be12d4f537efe,25
15,"Thoracic US",15,15,"/Users/gabe/Downloads/ACEP Lecture Handouts/15. AEMUS 26_Thoracic US Handout.pdf","/Users/gabe/Downloads/ACEP Lecture slides/15. AEMUS 26_Thoracic US.pdf",sources/acep-course-2026/pairs/15/handout/15.-aemus-26_thoracic-us-handout.pdf,sources/acep-course-2026/pairs/15/lecture/15.-aemus-26_thoracic-us.pdf,220542,11904801,a1f0c875ea718f4814d8907423b1cce4239b2d8f1917bc78cdd20586513cac30,d0ae2b650cc4639d779a3fde8d7f93e450a79a84bffe9d2dceb21386e30ced62,25
16,"Hepatobiliary",16,16,"/Users/gabe/Downloads/ACEP Lecture Handouts/16. AEMUS 26_Hepatobiliary Handout.pdf","/Users/gabe/Downloads/ACEP Lecture slides/16. AEMUS 26_Hepatobiliary.pdf",sources/acep-course-2026/pairs/16/handout/16.-aemus-26_hepatobiliary-handout.pdf,sources/acep-course-2026/pairs/16/lecture/16.-aemus-26_hepatobiliary.pdf,220386,8641068,f34492dca6662f00fe5f5997e4ff060a344646a9166c4b4068c071352676319e,34ce959416cfaf21c43b828e67e49a2e9362de9e249b1e7fd505bdb2af9f1e6c,25
17,"Advanced Abdomen",17,17,"/Users/gabe/Downloads/ACEP Lecture Handouts/17. AEMUS 26_Advanced Abdomen Handout.pdf","/Users/gabe/Downloads/ACEP Lecture slides/17. AEMUS 26_Advanced Abdomen.pdf",sources/acep-course-2026/pairs/17/handout/17.-aemus-26_advanced-abdomen-handout.pdf,sources/acep-course-2026/pairs/17/lecture/17.-aemus-26_advanced-abdomen.pdf,250645,20813161,3aba2381ed0c611922e90e34b511726eb1ff75b25632190025202f32f76d6c3b,1c8be5365da7285524897b4e95d3f6633a7cbcdb52f0a64c50cd89f9066b05a2,25
18,"HEENT",18,18,"/Users/gabe/Downloads/ACEP Lecture Handouts/18. AEMUS 26_HEENT Handout.pdf","/Users/gabe/Downloads/ACEP Lecture slides/18. AEMUS 26_HEENT.pdf",sources/acep-course-2026/pairs/18/handout/18.-aemus-26_heent-handout.pdf,sources/acep-course-2026/pairs/18/lecture/18.-aemus-26_heent.pdf,174117,17815334,c8a4b84338eaf885bfc48666c648dac79458ffbdf832939bfa4c0256e9baa1b2,71f44a330d031467a19da50ee6f4bc4571ea02e0277b4d3599ed64760d84c98a,25
19,"Soft Tissue US",19,19,"/Users/gabe/Downloads/ACEP Lecture Handouts/19. AEMUS 26_Soft Tissue US Handout.pdf","/Users/gabe/Downloads/ACEP Lecture slides/19. AEMUS 26_Soft Tissue US.pdf",sources/acep-course-2026/pairs/19/handout/19.-aemus-26_soft-tissue-us-handout.pdf,sources/acep-course-2026/pairs/19/lecture/19.-aemus-26_soft-tissue-us.pdf,135037,5212320,5315166616abd5ea22e9ea30fb95abd51a7029f12e9b06dc52bf8d1adb0c918b,d4b03354ea6f9fb14084e635af6e6bde774407a84afe941395ae475c6570281b,25
20,"Procedural US",20,20,"/Users/gabe/Downloads/ACEP Lecture Handouts/20. AEMUS 26_Procedural US Handout.pdf","/Users/gabe/Downloads/ACEP Lecture slides/20. AEMUS 26_Procedural US.pdf",sources/acep-course-2026/pairs/20/handout/20.-aemus-26_procedural-us-handout.pdf,sources/acep-course-2026/pairs/20/lecture/20.-aemus-26_procedural-us.pdf,372831,30157964,097b5c42964e044be6abfd090b03edca5db6839beba0be8a054d6eb5e281e7ab,8274d7ad08c2d93263e8cafd54bd98992e47125e1e2eebb8c5d45cc57b53216b,25
21,"Aorta US",21,21,"/Users/gabe/Downloads/ACEP Lecture Handouts/21. AEMUS 26_Aorta US Handout.pdf","/Users/gabe/Downloads/ACEP Lecture slides/21. AEMUS 26_Aorta US.pdf",sources/acep-course-2026/pairs/21/handout/21.-aemus-26_aorta-us-handout.pdf,sources/acep-course-2026/pairs/21/lecture/21.-aemus-26_aorta-us.pdf,6377811,37722794,b2b13980577753130413b5f8b46cd35b455952bd703fd58469d1e0451fdc64ba,3afd8e6f687a6c03c6196819c3bd23d894d33c0a7df278889d8b4b56ceedbe10,25
22,"Renal US",22,22,"/Users/gabe/Downloads/ACEP Lecture Handouts/22. AEMUS 26_Renal US Handout.pdf","/Users/gabe/Downloads/ACEP Lecture slides/22. AEMUS 26_Renal US.pdf",sources/acep-course-2026/pairs/22/handout/22.-aemus-26_renal-us-handout.pdf,sources/acep-course-2026/pairs/22/lecture/22.-aemus-26_renal-us.pdf,209667,31258101,aed5c51c16735ef7914a5479d3aa2f59be1941e56ccb07a17cbbd935692cef8e,d963e2e4b57eed8d5cce23de688aaa51220aedc6aec9b146552304c3e902f83a,25
23,"Male GU",23,23,"/Users/gabe/Downloads/ACEP Lecture Handouts/23. AEMUS 26_Male GU Handout.pdf","/Users/gabe/Downloads/ACEP Lecture slides/23. AEMUS 26_Male GU.pdf",sources/acep-course-2026/pairs/23/handout/23.-aemus-26_male-gu-handout.pdf,sources/acep-course-2026/pairs/23/lecture/23.-aemus-26_male-gu.pdf,151539,25665054,0b3d024f8a032fb83d5a7746cba86c7019a3d50390b3714ffe75377b9e6a7e51,fe9edd4ac5cb7e7ed917d4d70799d64b317c623af14474d83451fc3c462671a5,25
