chapter_id,file_name,question_number,page,image_rows_on_page,figure_or_video_markers_on_page,question_line
us-01,1. FAST.pdf,1,1,1,4,"1. Focused Assessment with Sonography in Trauma (FAST)"
us-01,1. FAST.pdf,1,1,1,4,"1. A 27-year-old male is brought in by emergency medical services (EMS) after sustaining multiple gunshot"
us-01,1. FAST.pdf,2,3,2,3,"2. A 33-year-old male is brought into the emergency department (ED) by EMS after a high speed roll-over"
us-01,1. FAST.pdf,8,5,2,2,"8. A 19-year-old female is involved in a high-speed motor vehicle collision. She was restrained. Airbags"
us-01,1. FAST.pdf,12,7,1,2,"12. A 31-year-old male presents after a low-speed motorcycle crash, where the patient skidded 15 feet after"
us-01,1. FAST.pdf,13,7,1,2,"13. Why is the perisplenic (LUQ) view more di cult to obtain than the hepatorenal (RUQ) view?"
us-01,1. FAST.pdf,14,7,1,2,"14. A patient presents to the ED with respiratory distress after being stabbed in the chest. A CT scan of the"
us-01,1. FAST.pdf,18,9,2,4,"18. A 38-year-old male with a history of asthma presents to the ED with 2 days of chest pain and shortness"
us-01,1. FAST.pdf,19,10,2,4,"19. A 32-year-old male is brought in by ambulance after a high-speed motor vehicle collision. He is awake"
us-01,1. FAST.pdf,20,11,2,2,"20. Where does uid tend to accumulate rst in the LUQ or perisplenic view?"
us-01,1. FAST.pdf,22,13,2,4,"22. Which of the following pathologies can be associated with a positive FAST showing intraabdominal"
us-01,1. FAST.pdf,23,13,2,4,"23. Paramedics bring a 23-year-old male to the ED after a head-on vehicle collision with another vehicle."
us-01,1. FAST.pdf,24,14,2,4,"24. A 54-year-old woman presents with abdominal pain after being involved in a side-impact vehicle"
us-01,1. FAST.pdf,26,16,2,4,"26. A 26-year-old male is brought in by paramedics with a stab wound to the left abdomen. His vital signs"
us-01,1. FAST.pdf,27,17,2,4,"27. A 30-year-old female presents with chest pain that started 2 days ago. She is usually healthy but has had"
us-01,1. FAST.pdf,28,18,2,4,"28. A morbidly obese 24-year-old female presents with abdominal pain and vaginal bleeding. She had an"
us-01,1. FAST.pdf,30,20,2,5,"30. A 49-year-old woman with a past medical history of metastatic small cell lung cancer on chemotherapy"
us-01,1. FAST.pdf,2,23,0,1,"2. Explanation"
us-01,1. FAST.pdf,3,23,0,1,"3. Explanation"
us-01,1. FAST.pdf,7,30,2,2,"7. Explanation"
us-01,1. FAST.pdf,8,31,1,2,"8. Explanation"
us-01,1. FAST.pdf,12,34,0,3,"12. Explanation"
us-01,1. FAST.pdf,13,34,0,3,"13. Explanation"
us-01,1. FAST.pdf,15,36,0,0,"15. Explanation"
us-01,1. FAST.pdf,19,39,1,2,"19. Explanation"
us-01,1. FAST.pdf,20,40,1,2,"20. Explanation"
us-01,1. FAST.pdf,24,44,1,2,"24. Explanation"
us-01,1. FAST.pdf,27,48,1,0,"27. Explanation"
us-01,1. FAST.pdf,28,52,0,1,"28. Explanation"
us-01,1. FAST.pdf,31,55,1,2,"31. Explanation"
us-02,2. Focused Echo.pdf,2,3,2,4,"2. A 48-year-old male with history of end-stage renal disease, coronary artery disease, and cardiomyopathy"
us-02,2. Focused Echo.pdf,4,5,1,3,"4. To help determine the etiology of an acutely dyspneic patient, you obtain a parasternal long axis view on"
us-02,2. Focused Echo.pdf,5,5,1,3,"5. An 80-year-old male from a nursing home presents with altered mental status. On exam, he is in mild"
us-02,2. Focused Echo.pdf,6,6,2,2,"6. You encounter a patient with progressively worsening shortness of breath, who also happens to have"
us-02,2. Focused Echo.pdf,7,7,2,4,"7. A 48-year-old female comes to the emergency department for acute dyspnea. She recently returned from"
us-02,2. Focused Echo.pdf,8,7,2,4,"8. A 30-year-old female with a history of substance abuse presents with fevers and chills for 2 days. She has"
us-02,2. Focused Echo.pdf,13,11,1,2,"13. A 32-year-old male with history of cocaine abuse presents to the emergency department with substernal"
us-02,2. Focused Echo.pdf,14,13,1,2,"14. A 55-year-old female presents with weakness, abdominal cramping, and watery diarrhea for 3 days. She"
us-02,2. Focused Echo.pdf,16,16,1,3,"16. A 35-year-old male presents to your emergency department with pleuritic chest pain and generalized"
us-02,2. Focused Echo.pdf,19,20,1,3,"19. A 50-year-old male with no known medical history collapses while exercising at the tness center. An"
us-02,2. Focused Echo.pdf,20,21,2,2,"20. A 52-year-old morbidly obese female presents with new symptoms of congestive heart failure for the"
us-02,2. Focused Echo.pdf,29,25,1,2,"29. A 56-year-old female with a history of chronic obstructive pulmonary disease (COPD) presents for"
us-02,2. Focused Echo.pdf,30,25,1,2,"30. A 35-year-old male without past medical history presents with progressive fatigue and dyspnea on"
us-02,2. Focused Echo.pdf,32,28,1,1,"32. A 56-year-old male presents with 2 days of intermittent chest pain that radiates to his jaw. It is worse"
us-02,2. Focused Echo.pdf,33,28,1,1,"33. An 85-year-old female with history of aortic stenosis status post bovine valve replacement 10 years ago,"
us-02,2. Focused Echo.pdf,34,28,1,1,"34. An 18-year-old male presents with palpitations and feeling dizzy for the past 2 hours. He has had a few"
us-02,2. Focused Echo.pdf,38,32,1,3,"38. A 52-year-old woman presents with pleuritic chest pain and dyspnea for 1 week. Her vital signs are T"
us-02,2. Focused Echo.pdf,39,32,1,3,"39. A 53-year-old man presents with chest pain for the past 2 hours. His vital signs are BP 170/100, HR 93,"
us-02,2. Focused Echo.pdf,42,34,2,2,"42. An 88-year-old patient with history of coronary artery disease presents in cardiac arrest and has return"
us-02,2. Focused Echo.pdf,43,35,2,3,"43. A 45-year-old male with no signi cant past medical history presents with 3 weeks of bilateral lower"
us-02,2. Focused Echo.pdf,3,38,1,1,"3. Explanation"
us-02,2. Focused Echo.pdf,4,39,0,2,"4. Explanation"
us-02,2. Focused Echo.pdf,6,43,0,3,"6. Explanation"
us-02,2. Focused Echo.pdf,12,56,0,1,"12. Explanation"
us-02,2. Focused Echo.pdf,15,62,0,1,"15. Explanation"
us-02,2. Focused Echo.pdf,16,64,1,4,"16. Explanation"
us-02,2. Focused Echo.pdf,22,77,0,2,"22. Explanation"
us-02,2. Focused Echo.pdf,23,79,1,1,"23. Explanation"
us-02,2. Focused Echo.pdf,28,91,1,4,"28. Explanation"
us-02,2. Focused Echo.pdf,30,94,1,1,"30. Explanation"
us-02,2. Focused Echo.pdf,31,97,0,3,"31. Explanation"
us-02,2. Focused Echo.pdf,33,101,2,2,"33. Explanation"
us-02,2. Focused Echo.pdf,34,102,0,2,"34. Explanation"
us-02,2. Focused Echo.pdf,37,109,1,2,"37. Explanation"
us-02,2. Focused Echo.pdf,38,112,1,3,"38. Explanation"
us-02,2. Focused Echo.pdf,43,124,0,0,"43. Explanation"
us-03,3. Physics and Knobology.pdf,3,1,1,0,"3. Physics and Knobology "
us-03,3. Physics and Knobology.pdf,1,1,1,0,"1. A pregnant female patient asks you if she should buy a popular home ultrasound machine to monitor her"
us-03,3. Physics and Knobology.pdf,2,2,1,2,"2. You are considering doing a thorough lung ultrasound on a dyspneic patient to look for the presence of B-"
us-03,3. Physics and Knobology.pdf,3,2,1,2,"3. You have a young male patient who you are concerned has testicular torsion. You are considering doing a"
us-03,3. Physics and Knobology.pdf,4,2,1,2,"4. What are the two artifacts seen in the images of the gallbladder shown in Figure 3.1?"
us-03,3. Physics and Knobology.pdf,7,4,1,3,"7. Which of the following is true of beam-width artifact?"
us-03,3. Physics and Knobology.pdf,8,4,1,3,"8. You are imaging a hydrocele and note some abnormal echoes within the anechoic uid. What is the name"
us-03,3. Physics and Knobology.pdf,9,4,1,3,"9. Identify the artifact seen in Figure 3.5:"
us-03,3. Physics and Knobology.pdf,10,5,2,3,"10. A 26-year-old man presents with sharp right ank pain and nausea for the past day. He denies dysuria"
us-03,3. Physics and Knobology.pdf,17,8,1,3,"17. You perform a RUQ ultrasound on a patient with right-sided abdominal pain. Which image in Figure 3.9"
us-03,3. Physics and Knobology.pdf,18,8,1,3,"18. Which cardinal movement of the ultrasound probe would be the quickest way to check for free uid"
us-03,3. Physics and Knobology.pdf,19,8,1,3,"19. In Figure 3.10, an image of a pleural e usion, the rib is compared to the e usion."
us-03,3. Physics and Knobology.pdf,28,13,2,3,"28. You are performing a carotid ultrasound and note the appearance of ow outside of the vessel. You have"
us-03,3. Physics and Knobology.pdf,29,14,1,6,"29. You are attempting to place a radial artery catheter using ultrasound guidance. You place the probe on"
us-03,3. Physics and Knobology.pdf,30,14,1,6,"30. You are unable to locate an audible Doppler and want to evaluate arterial blood ow using PWD. Which of"
us-03,3. Physics and Knobology.pdf,2,18,1,1,"2. Explanation"
us-03,3. Physics and Knobology.pdf,4,21,1,3,"4. Explanation"
us-03,3. Physics and Knobology.pdf,7,25,1,3,"7. Explanation"
us-03,3. Physics and Knobology.pdf,9,27,1,2,"9. Explanation"
us-03,3. Physics and Knobology.pdf,12,30,0,0,"12. Explanation"
us-03,3. Physics and Knobology.pdf,14,33,0,0,"14. Explanation"
us-03,3. Physics and Knobology.pdf,16,35,1,3,"16. Explanation"
us-03,3. Physics and Knobology.pdf,26,43,0,0,"26. Explanation"
us-03,3. Physics and Knobology.pdf,28,45,1,1,"28. Explanation"
us-03,3. Physics and Knobology.pdf,30,48,1,3,"30. Explanation"
us-03,3. Physics and Knobology.pdf,32,50,1,2,"32. Explanation"
us-03,3. Physics and Knobology.pdf,35,52,1,2,"35. Explanation"
us-04,4. Resuscitative US.pdf,4,1,1,1,"4. Resuscitative Ultrasound "
us-04,4. Resuscitative US.pdf,1,1,1,1,"1. A 63-year-old woman with a recent diagnosis of locally advanced breast cancer undergoing neoadjuvant"
us-04,4. Resuscitative US.pdf,2,3,1,4,"2. A 67-year-old man with a history of coronary artery disease status bypass surgery and obesity is admitted"
us-04,4. Resuscitative US.pdf,5,7,2,4,"5. A 45-year-old male with a prior history of heavy alcoholism presents with acute dyspnea and"
us-04,4. Resuscitative US.pdf,7,9,2,6,"7. A 72-year-old male with a history of diabetes, hyperlipidemia, and chronic back pain recently had a"
us-04,4. Resuscitative US.pdf,8,10,2,2,"8. A 55-year-old man is admitted to the plastic surgery service for a left lower extremity wound sustained"
us-04,4. Resuscitative US.pdf,10,14,1,8,"10. A 67-year-old male who is a former smoker and has a history of diabetes mellitus, coronary artery"
us-04,4. Resuscitative US.pdf,13,18,2,4,"13. A 72-year-old woman with unknown past medical history was brought in by ambulance from her skilled"
us-04,4. Resuscitative US.pdf,14,19,2,3,"14. An 81-year-old man with a history of Alzheimer’s dementia and congestive heart failure presents from"
us-04,4. Resuscitative US.pdf,16,21,1,2,"16. A 67-year-old man with hypertension and diabetes presents with several days of worsening lethargy,"
us-04,4. Resuscitative US.pdf,17,22,2,3,"17. A 71-year-old male with a history of insulin-dependent diabetes mellitus and chronic kidney disease"
us-04,4. Resuscitative US.pdf,18,22,2,3,"18. A 45-year-old man is admitted to the medical ICU with pneumonia complicated by acute respiratory"
us-04,4. Resuscitative US.pdf,20,24,2,5,"20. A 41-year-old male with a history of alcoholic cirrhosis had a prolonged hospital course complicated by"
us-04,4. Resuscitative US.pdf,21,25,2,4,"21. A 22-year-old male presents with dyspnea, cough, fevers, and fatigue for the past week. His vital signs"
us-04,4. Resuscitative US.pdf,23,27,1,3,"23. A 65-year-old male presents with acute shortness of breath and altered mental status over the past 1"
us-04,4. Resuscitative US.pdf,24,29,2,3,"24. A 56-year-old female presents with abdominal pain and vomiting. Her heart rate is 118, blood pressure"
us-04,4. Resuscitative US.pdf,26,31,2,4,"26. An 88-year-old female is brought in by ambulance following a PEA arrest. The monitor shows asystole."
us-04,4. Resuscitative US.pdf,4,34,0,0,"4. Explanation"
us-04,4. Resuscitative US.pdf,11,40,2,8,"11. Explanation"
us-04,4. Resuscitative US.pdf,17,48,0,0,"17. Explanation"
us-04,4. Resuscitative US.pdf,20,50,0,0,"20. Explanation"
us-04,4. Resuscitative US.pdf,23,53,0,0,"23. Explanation"
us-04,4. Resuscitative US.pdf,710,53,0,0,"710. doi:10.1001/jama.2017.21907."
us-04,4. Resuscitative US.pdf,24,53,0,0,"24. Explanation"
us-04,4. Resuscitative US.pdf,25,55,1,1,"25. Explanation"
us-04,4. Resuscitative US.pdf,26,56,0,0,"26. Explanation"
us-05,5. Thoracic Ultrasound.pdf,2,2,2,3,"2. A 16-year-old female presents with dyspnea that has worsened over the past few days. Symptoms are not"
us-05,5. Thoracic Ultrasound.pdf,5,4,2,3,"5. A patient presents with right-sided chest pain and shortness of breath. Vital signs are as follows: blood"
us-05,5. Thoracic Ultrasound.pdf,6,5,1,3,"6. A patient presents with right-sided chest pain and shortness of breath. Vital signs are as follows: blood"
us-05,5. Thoracic Ultrasound.pdf,7,5,1,3,"7. A patient presents with chest pain and shortness of breath. Vitals signs are as follows: blood pressure"
us-05,5. Thoracic Ultrasound.pdf,8,6,2,4,"8. An 18-year-old male with a history of Marfan’s syndrome presents with right-sided chest pain and"
us-05,5. Thoracic Ultrasound.pdf,10,8,1,3,"10. An 87-year-old female is brought in on a backboard after a motor vehicle collision. Her airway, breath"
us-05,5. Thoracic Ultrasound.pdf,11,8,1,3,"11. A 28-year-old male on immunosuppression presents with cough, fever, and pleuritic right-sided chest"
us-05,5. Thoracic Ultrasound.pdf,12,9,2,4,"12. A patient presents to the emergency department with dyspnea. Bedside ultrasound is performed and"
us-05,5. Thoracic Ultrasound.pdf,13,10,2,4,"13. A patient was transferred from an outside hospital status post-intubation due to altered mental status."
us-05,5. Thoracic Ultrasound.pdf,15,12,2,5,"15. A patient presents to the emergency department with cough, fever, and shortness of breath. Bedside"
us-05,5. Thoracic Ultrasound.pdf,16,13,1,3,"16. A 56-year-old male presents to the emergency department with cough, fever, and shortness of breath."
us-05,5. Thoracic Ultrasound.pdf,17,14,2,2,"17. A 19-year-old female presents with unilateral leg swelling and dyspnea. On review of her medications,"
us-05,5. Thoracic Ultrasound.pdf,21,16,1,1,"21. A bedside ultrasound is performed on a patient that con rms the presence of a pleural e usion. The"
us-05,5. Thoracic Ultrasound.pdf,22,16,1,1,"22. A bedside ultrasound is performed on a patient with metastatic lung cancer and con rms the presence of"
us-05,5. Thoracic Ultrasound.pdf,2,18,1,2,"2. Explanation"
us-05,5. Thoracic Ultrasound.pdf,7,22,1,5,"7. Explanation"
us-05,5. Thoracic Ultrasound.pdf,8,23,1,1,"8. Explanation"
us-05,5. Thoracic Ultrasound.pdf,12,27,1,2,"12. Explanation"
us-05,5. Thoracic Ultrasound.pdf,14,29,0,0,"14. Explanation"
us-05,5. Thoracic Ultrasound.pdf,15,29,0,0,"15. Explanation"
us-05,5. Thoracic Ultrasound.pdf,17,31,1,2,"17. Explanation"
us-05,5. Thoracic Ultrasound.pdf,19,33,1,5,"19. Explanation"
us-05,5. Thoracic Ultrasound.pdf,22,38,0,2,"22. Explanation"
us-06,6. Aorta.pdf,6,1,1,0,"6. Aorta Ultrasound "
us-06,6. Aorta.pdf,1,1,1,0,"1. A 66-year-old male presents to the emergency department (ED) with 5 hours of left ank pain that he"
us-06,6. Aorta.pdf,2,2,2,7,"2. A 67-year-old male with hypertension, coronary artery disease (CAD), and active tobacco use presents"
us-06,6. Aorta.pdf,6,4,1,3,"6. Which of the following are ultrasound diagnostic criteria for an AAA?"
us-06,6. Aorta.pdf,7,4,1,3,"7. Which of the following describes the most common aortic aneurysm location and morphology?"
us-06,6. Aorta.pdf,8,4,1,3,"8. A 66-year-old male with past medical history signi cant for tobacco abuse, chronic kidney disease,"
us-06,6. Aorta.pdf,9,4,1,3,"9. What is the most likely explanation for the discrepancy in diameter measurements in Figure 6.2a and"
us-06,6. Aorta.pdf,15,7,2,6,"15. You are caring for a 78-year-old female with acute onset of abdominal pain and tachycardia. You suspect"
us-06,6. Aorta.pdf,16,8,1,2,"16. A 57-year-old male with a history of tobacco use and known CAD presents to your ED with abdominal"
us-06,6. Aorta.pdf,17,8,1,2,"17. An ultrasound of the aorta is performed as part of the evaluation of a 75-year-old male with intermittent"
us-06,6. Aorta.pdf,21,10,2,2,"21. A 74-year-old female with history of hypertension, peripheral vascular disease, and tobacco use"
us-06,6. Aorta.pdf,23,12,0,0,"23. You obtain a transverse view of the distal aorta on a 73-year-old male with abdominal pain. There are"
us-06,6. Aorta.pdf,24,12,0,0,"24. A 64-year-old male presents to your ED unresponsive. His wife tells you that he had sudden onset lower"
us-06,6. Aorta.pdf,25,12,0,0,"25. A 72-year-old female presents to your ED with abdominal pain and hypotension. A ruptured AAA is on"
us-06,6. Aorta.pdf,26,12,0,0,"26. A 72-year-old man presents with left lower quadrant abdominal pain. You conduct a bedside ultrasound"
us-06,6. Aorta.pdf,29,14,2,4,"29. A 72-year-old patient presents with sudden onset groin pain. His skin is cool and clammy; he appears"
us-06,6. Aorta.pdf,30,15,2,4,"30. A 55-year-old woman with a history of hypertension, hyperlipidemia, and 60-pack years of smoking"
us-06,6. Aorta.pdf,33,17,1,3,"33. The patient from the previous question suddenly develops ripping chest pain in the ED. He is obtunded"
us-06,6. Aorta.pdf,34,17,1,3,"34. A 54-year-old male patient with a long history of poorly controlled hypertension presents with sudden-"
us-06,6. Aorta.pdf,35,17,1,3,"35. A 68-year-old male patient presents to the ED with tearing chest pain radiating to his back. A bedside"
us-06,6. Aorta.pdf,38,19,2,3,"38. A 77-year-old male presents to your ED with 3 weeks of increasing abdominal pain and 2 days of"
us-06,6. Aorta.pdf,39,20,1,2,"39. A 67-year-old male with a history of endovascular aortic aneurysm repair and end-stage renal disease"
us-06,6. Aorta.pdf,40,20,1,2,"40. A 75-year-old presents to an ED with abdominal pain. A moonlighting resident performs an abdominal"
us-06,6. Aorta.pdf,2,22,0,5,"2. Explanation"
us-06,6. Aorta.pdf,10,30,1,1,"10. Explanation"
us-06,6. Aorta.pdf,12,32,1,1,"12. Explanation"
us-06,6. Aorta.pdf,13,33,0,0,"13. Explanation"
us-06,6. Aorta.pdf,17,39,0,3,"17. Explanation"
us-06,6. Aorta.pdf,20,43,0,1,"20. Explanation"
us-06,6. Aorta.pdf,22,46,1,2,"22. Explanation"
us-06,6. Aorta.pdf,24,48,1,2,"24. Explanation"
us-06,6. Aorta.pdf,25,50,0,0,"25. Explanation"
us-06,6. Aorta.pdf,27,52,1,3,"27. Explanation"
us-06,6. Aorta.pdf,30,54,0,0,"30. Explanation"
us-06,6. Aorta.pdf,32,56,0,0,"32. Explanation"
us-06,6. Aorta.pdf,33,58,0,2,"33. Explanation"
us-06,6. Aorta.pdf,36,62,0,0,"36. Explanation"
us-06,6. Aorta.pdf,38,65,0,0,"38. Explanation"
us-06,6. Aorta.pdf,40,67,0,0,"40. Explanation"
us-07,7. Hepatobiliary.pdf,7,1,1,0,"7. Hepatobiliary Ultrasound "
us-07,7. Hepatobiliary.pdf,1,1,1,0,"1. A 60-year-old female presents with epigastric abdominal pain and you are concerned she may have"
us-07,7. Hepatobiliary.pdf,2,2,2,3,"2. A 32-year-old male with known history of cholelithiasis and biliary presents with right upper quadrant"
us-07,7. Hepatobiliary.pdf,5,4,2,2,"5. A 50-year-old male with a history of gallstones presents to the emergency department (ED), complaining"
us-07,7. Hepatobiliary.pdf,9,6,1,2,"9. A 34-year-old female presents with epigastric pain and fever with a concern for acute cholecystitis. To"
us-07,7. Hepatobiliary.pdf,10,6,1,2,"10. A 36-year-old female with a history of gastritis presents with discomfort in her epigastric region and"
us-07,7. Hepatobiliary.pdf,11,7,2,3,"11. A 56-year-old male presents with RUQ pain radiating to the ank with nausea and subjective chills. He is"
us-07,7. Hepatobiliary.pdf,13,9,1,2,"13. A 34-year-old female presents with RUQ pain, fever, and vomiting after eating pizza, stating she has had"
us-07,7. Hepatobiliary.pdf,14,9,1,2,"14. A 73-year-old thin female with a history of diabetes presents for vague abdominal pain. She is alert and"
us-07,7. Hepatobiliary.pdf,15,10,2,1,"15. One a scanning shift, you employ an X minus 7 technique, with the indicator pointed cephalad, to nd"
us-07,7. Hepatobiliary.pdf,16,11,2,3,"16. A 33-year-old male with no past medical history presents for di use, mild abdominal pain. He is alert"
us-07,7. Hepatobiliary.pdf,19,13,2,4,"19. A 25-year-old pregnant woman comes in with upper abdominal pain. You perform a RUQ ultrasound to"
us-07,7. Hepatobiliary.pdf,20,14,1,2,"20. Which of the following conditions are associated with a thickened gallbladder wall?"
us-07,7. Hepatobiliary.pdf,21,14,1,2,"21. A 76-year-old male with a history of diabetes is brought in by emergency medical services after altered"
us-07,7. Hepatobiliary.pdf,23,16,1,4,"23. A 39-year-old female presents with worsening of her biliary colic for the past day. Usually, the pain"
us-07,7. Hepatobiliary.pdf,25,18,2,1,"25. A patient is diagnosed with symptomatic choledocholithiasis in the ED. What is the next step in the"
us-07,7. Hepatobiliary.pdf,26,19,1,2,"26. A 36-year-old female presents with epigastric and RUQ pain with nausea and vomiting 30 minutes after"
us-07,7. Hepatobiliary.pdf,27,19,1,2,"27. Which of the following can make the gallbladder di cult to visualize sonographically?"
us-07,7. Hepatobiliary.pdf,28,19,1,2,"28. A 44-year-old male presents with fever, jaundice, and RUQ pain. His abdominal ultrasound con rms the"
us-07,7. Hepatobiliary.pdf,30,21,1,3,"30. A 46-year-old male presents to the ED with nausea, vomiting, RUQ pain, and jaundice. His past medical"
us-07,7. Hepatobiliary.pdf,31,21,1,3,"31. A 21-year-old female with cystic brosis (CF) is admitted with acute onset RUQ pain, nausea, and"
us-07,7. Hepatobiliary.pdf,33,23,1,2,"33. A 52-year-old male presents with epigastric and RUQ pain, with nausea and vomiting. His vital signs are"
us-07,7. Hepatobiliary.pdf,34,24,2,1,"34. A 62-year-old female with a history of arterial hypertension, ischemic cardiomyopathy, and chronic"
us-07,7. Hepatobiliary.pdf,36,26,2,3,"36. A 43-year-old obese female presents with burning di use abdominal pain after eating a hamburger and"
us-07,7. Hepatobiliary.pdf,37,27,1,3,"37. A 58-year-old woman presents with suprapubic pain and dysuria. She appears well and has a benign"
us-07,7. Hepatobiliary.pdf,39,29,2,1,"39. A 58-year-old female presents with worsening abdominal and back pain for the past 2 months. Her"
us-07,7. Hepatobiliary.pdf,2,31,1,1,"2. Explanation"
us-07,7. Hepatobiliary.pdf,4,33,1,1,"4. Explanation"
us-07,7. Hepatobiliary.pdf,7,37,1,1,"7. Explanation"
us-07,7. Hepatobiliary.pdf,8,38,1,1,"8. Explanation"
us-07,7. Hepatobiliary.pdf,14,45,1,3,"14. Explanation"
us-07,7. Hepatobiliary.pdf,18,49,0,0,"18. Explanation"
us-07,7. Hepatobiliary.pdf,19,49,0,0,"19. Explanation"
us-07,7. Hepatobiliary.pdf,21,51,2,1,"21. Explanation"
us-07,7. Hepatobiliary.pdf,23,53,0,1,"23. Explanation"
us-07,7. Hepatobiliary.pdf,25,56,1,1,"25. Explanation"
us-07,7. Hepatobiliary.pdf,28,59,0,1,"28. Explanation"
us-07,7. Hepatobiliary.pdf,32,64,0,1,"32. Explanation"
us-07,7. Hepatobiliary.pdf,35,67,0,0,"35. Explanation"
us-07,7. Hepatobiliary.pdf,36,69,1,2,"36. Explanation"
us-07,7. Hepatobiliary.pdf,37,70,1,2,"37. Explanation"
us-08,8. Renal.pdf,2,2,1,3,"2. Which of the following choices correctly describes the sonographic renal anatomy in Figure 8.1?"
us-08,8. Renal.pdf,3,2,1,3,"3. A 35-year-old man is transported to the ED by ambulance after a motor vehicle crash. He has normal vital"
us-08,8. Renal.pdf,5,4,1,3,"5. A 54-year-old female with a history of uterine cancer presents with bilateral ank pain. Her symptoms"
us-08,8. Renal.pdf,6,4,1,3,"6. A 39-year-old male with history of kidney stones presents with right ank pain and vomiting. On exam"
us-08,8. Renal.pdf,7,5,2,3,"7. A 27-year-old male with a past medical history of kidney stones presents with a chief complaint of"
us-08,8. Renal.pdf,12,8,2,4,"12. A 68-year-old male with no prior medical problems presents for evaluation after being unable to urinate"
us-08,8. Renal.pdf,15,10,1,1,"15. In the patient described in Question 14, you decide to use the following formula to calculate the PVR"
us-08,8. Renal.pdf,16,10,1,1,"16. A 31-year-old male with a history of high cholesterol presents with a sudden onset of right ank pain"
us-08,8. Renal.pdf,17,11,2,3,"17. A 32-year-old male presents with acute right ank pain. He reports no urinary retention. His vital signs"
